Supply Item,Used In (Months),Item Type,Parent Sign-Up (Have It),Where to Buy,Qty Needed (7kids),Est. Price
"Seed Potatoes, Pots, & Garden Starts",March,Consumable,[ ],,1 set,$15–$25
White Tissue Paper,March,Consumable,[ ],,1 pack,$3–$5
Clay Sculpting Tools,April,Reusable,[  Emily ],,1 set,$6–$10
Acrylic or Tempera Paint,April,Consumable,[ ],,1 set,$10–$15
Coconut Coir Lining & Wheat Grass Seeds,April,Consumable,[ ],,1 pack each,$8–$12
"White Knitted Square (4–5"")",April,Reusable,[ ],,1 per child,$3–$6
White Eggs & Egg Dye Tool / Dye Kit,April,Consumable / Reusable,[ ],,1 set,$8–$14
Spring Colored Sprinkles & Assorted Seeds,April,Consumable,[ ],,1 pack each,$5–$9
Wood Eggs,April,Reusable,Do we really need these?,,1 pack,$6–$10
Fresh Flowers,May,Consumable,[ ],,1 bouquet,$8–$15
Heavy Cream,May,Consumable,[ ],,1 carton,$4–$6
Mason Jar Churn & Butter Paddles,May,Reusable,[ Jessica] probably need a couple more,,1 set,$15–$25
Strainer/Sieve & Biscuit Cutter,May,Reusable,"rachael a couple strainers,",,1 set,$8–$14
Parchment Paper & Pie Gift Boxes,May,Consumable,[ ],,1 pack each,$6–$12
"Honey Cake Mold & 8–9"" Round Cake Pans",May,Reusable,[ ],,1–2 pans,$12–$22
Washboard,May,Reusable,"Rachael, need couple more",,1 unit,$12–$18
Bubble Wands & Bubble Solution,May,Reusable / Consumable,[ ],,1 set,$5–$8
Lemon Zester,May,Reusable,[Jessica ] Rachael,,1 unit,$6–$10
